time_stamps,processed_1_not_processed_0
2002001.1830,0
2002001.1835,0
2002001.2010,0
2002002.1735,0
2002002.1740,0
2002002.1915,0
2002002.1920,0
2002003.1820,0
2002003.1825,0
2002003.2000,0
2002004.1900,0
2002004.1905,0
2002004.2040,0
2002005.1805,0
2002005.1810,0
2002005.1945,0
2002005.1950,0
2002006.1850,0
2002006.1855,0
2002007.1755,0
2002007.1800,0
2002007.1935,0
2002008.1835,0
2002008.1840,0
2002008.2015,0
2002009.1740,0
2002009.1745,0
2002010.1825,0
2002010.1830,0
2002010.2005,0
2002011.1730,0
2002011.1735,0
2002011.1910,0
2002011.2045,0
2002012.1815,0
2002012.1950,0
2002012.1955,0
2002013.1855,0
2002013.1900,0
2002014.1800,0
2002014.1805,0
2002014.1940,0
2002014.1945,0
2002015.1845,0
2002015.2020,0
2002016.1750,0
2002016.1925,0
2002016.1930,0
2002017.1830,0
2002017.1835,0
2002017.2010,0
2002018.1735,0
2002018.1740,0
2002018.1915,0
2002018.1920,0
2002019.1820,0
2002019.2000,0
2002020.1900,0
2002020.1905,0
2002020.2040,0
2002021.1805,0
2002021.1810,0
2002021.1945,0
2002021.1950,0
2002022.1850,0
2002022.1855,0
2002023.1755,0
2002023.1800,0
2002023.1935,0
2002024.1835,0
2002024.1840,0
2002024.2015,0
2002025.1740,0
2002025.1745,0
2002025.1920,0
2002025.1925,0
2002026.1825,0
2002026.1830,0
2002026.2005,0
2002027.1730,0
2002027.1735,0
2002027.1910,0
2002027.2045,0
2002028.1815,0
2002028.1950,0
2002028.1955,0
2002029.1855,0
2002029.1900,0
2002030.1800,0
2002030.1805,0
2002030.1940,0
2002030.1945,0
2002031.1845,0
2002031.2020,0
2002032.1750,0
2002033.1830,0
2002033.1835,0
2002033.2010,0
2002034.1735,0
2002034.1740,0
2002034.1915,0
2002034.1920,0
2002035.1820,0
2002035.1955,0
2002035.2000,0
2002036.1900,0
2002036.1905,0
2002037.1805,0
2002037.1810,0
2002037.1945,0
2002037.1950,0
2002038.1850,0
2002038.1855,0
2002039.1755,0
2002039.1930,0
2002039.1935,0
2002040.1835,0
2002040.1840,0
2002040.2015,0
2002041.1740,0
2002041.1745,0
2002041.1920,0
2002041.1925,0
2002042.1825,0
2002042.1830,0
2002042.2005,0
2002043.1730,0
2002043.1905,0
2002043.1910,0
2002044.1810,0
2002044.1815,0
2002044.1950,0
2002044.1955,0
2002045.1855,0
2002045.1900,0
2002046.1800,0
2002046.1805,0
2002046.1940,0
2002047.1845,0
2002047.2020,0
2002048.1745,0
2002048.1750,0
2002048.1925,0
2002048.1930,0
2002049.1830,0
2002049.1835,0
2002049.2010,0
2002050.1735,0
2002050.1740,0
2002050.1915,0
2002050.2050,0
2002051.1820,0
2002051.1955,0
2002051.2000,0
2002052.1900,0
2002052.1905,0
2002053.1805,0
2002053.1810,0
2002053.1945,0
2002053.1950,0
2002054.1850,0
2002054.1855,0
2002055.1755,0
2002055.1930,0
2002055.1935,0
2002056.1835,0
2002056.1840,0
2002056.2015,0
2002057.1740,0
2002057.1745,0
2002057.1920,0
2002057.1925,0
2002058.1825,0
2002058.1830,0
2002058.2005,0
2002059.1730,0
2002059.1905,0
2002059.1910,0
2002060.1810,0
2002060.1815,0
2002060.1950,0
2002060.1955,0
2002061.1855,0
2002061.1900,0
2002062.1800,0
2002062.1805,0
2002062.1940,0
2002063.1845,0
2002063.2020,0
2002064.1745,0
2002064.1750,0
2002064.1925,0
2002064.1930,0
2002065.1830,0
2002065.1835,0
2002065.2010,0
2002066.1735,0
2002066.1740,0
2002066.1915,0
2002066.2050,0
2002067.1820,0
2002067.1955,0
2002067.2000,0
2002068.1900,0
2002068.1905,0
